YEAR,SEASON,STATE,TOTAL_ANN_LOSS,BEEKEEPERS,STATE_BEEKEEPERS,COLONIES,STATE_COLONIES
2014,Annual,Montana,0.4,26,0.73,37022,0.06
2014,Annual,North Carolina,0.42,254,0.97,2700,0.98
2014,Annual,Kansas,0.42,39,0.97,1246,0.85
2014,Annual,MultiStateOperation,0.43,144,0.00,423939,0
2014,Annual,Louisiana,0.44,18,0.83,4335,0.12
2014,Annual,Virginia,0.46,590,0.99,4645,0.98
2014,Annual,Massachusetts,0.46,150,0.98,1479,0.78
2014,Annual,New Mexico,0.46,21,0.95,2037,0.05
2014,Annual,Texas,0.46,139,0.86,183028,0.03
2014,Annual,Rhode Island,0.48,22,0.73,401,0.37
2014,Annual,Kentucky,0.48,59,0.98,804,0.75
2014,Annual,Alabama,0.48,28,0.96,504,0.99
2014,Annual,New Jersey,0.48,93,0.96,853,0.85
2014,Annual,Arkansas,0.48,96,0.94,3428,0.76
2014,Annual,Indiana,0.49,92,0.97,781,0.97
2014,Annual,Minnesota,0.51,77,0.81,137066,0
2014,Annual,New York,0.54,146,0.94,55882,0.09
2014,Annual,Florida,0.55,93,0.86,61246,0.08
2014,Annual,Connecticut,0.57,56,0.95,646,0.66
2014,Annual,Arizona,0.59,9,0.89,1156,0.62
2014,Annual,Ohio,0.59,270,0.97,3856,0.71
2014,Annual,Wisconsin,0.6,124,0.93,51505,0.08
2014,Annual,Maine,0.61,103,0.96,46971,0.02
2014,Annual,West Virginia,0.61,47,0.87,751,0.4
2014,Annual,Maryland,0.61,126,0.94,24579,0.05
2014,Annual,Delaware,0.61,16,0.63,46466,0
2014,Annual,Pennsylvania,0.61,674,0.99,53106,0.16
2014,Annual,Iowa,0.61,36,0.94,1206,0.63
2014,Annual,Illinois,0.62,102,0.97,1317,0.57
2014,Annual,Oklahoma,0.63,36,0.89,18277,0.03
2014,Annual,District of Columbia,,3,0.67,360,0.07
2014,Annual,Alaska,,2,1.00,11,1
2013,Annual,Wyoming,0.2,10,0.40,22954,0
2013,Annual,Montana,0.22,23,0.70,33093,0
2013,Annual,Hawaii,0.25,67,0.99,16970,0.53
2013,Annual,Massachusetts,0.26,145,0.95,9387,0.18
2013,Annual,Nebraska,0.27,11,0.73,88509,0
2013,Annual,Colorado,0.27,174,0.98,77674,0.01
2013,Annual,North Carolina,0.28,241,0.94,81356,0.03
2013,Annual,Idaho,0.28,34,0.56,113406,0.07
2013,Annual,Utah,0.29,51,0.82,9228,0.04
2013,Annual,Arkansas,0.29,56,0.93,10852,0.06
2013,Annual,Minnesota,0.3,93,0.86,121915,0.02
2013,Annual,Louisiana,0.3,20,0.95,11549,0.29
2013,Annual,South Dakota,0.3,14,0.50,95243,0
2013,Annual,California,0.32,253,0.66,450107,0.04
2013,Annual,Oregon,0.33,173,0.92,51415,0.02
2013,Annual,New Mexico,0.33,18,1.00,123,1
2013,Annual,MultiStateOperation,0.34,186,0.00,499421,0
2013,Annual,Wisconsin,0.34,136,0.86,58053,0.03
2013,Annual,South Carolina,0.35,140,0.96,3122,0.49
2013,Annual,Nevada,0.35,12,0.75,717,0.08
2013,Annual,Washington,0.35,119,0.89,70806,0.02
2013,Annual,Texas,0.36,78,0.76,187311,0.02
2013,Annual,Florida,0.36,150,0.81,83120,0.07
2013,Annual,North Dakota,0.37,26,0.04,194926,0
2013,Annual,Rhode Island,0.37,22,0.73,214,0.53
2013,Annual,Mississippi,0.38,23,0.65,134891,0
2013,Annual,New Jersey,0.4,165,0.96,27002,0.05
2013,Annual,Indiana,0.41,174,0.96,4712,0.42
2013,Annual,Maine,0.41,140,0.96,44447,0.02
2013,Annual,Tennessee,0.41,91,0.95,1808,0.54
2013,Annual,Missouri,0.42,78,0.99,1396,0.89
2013,Annual,Michigan,0.42,332,0.96,31420,0.13
2013,Annual,Virginia,0.42,637,0.98,27303,0.24
2013,Annual,Oklahoma,0.43,26,0.96,9024,0.03
2013,Annual,Delaware,0.43,21,0.76,21140,0.01
2013,Annual,Maryland,0.44,148,0.92,23241,0.08
2013,Annual,Alabama,0.44,33,0.94,1083,0.39
2013,Annual,Georgia,0.45,92,0.87,19468,0.12
2013,Annual,West Virginia,0.45,65,0.91,1178,0.63
2013,Annual,Kentucky,0.45,94,0.96,1537,0.74
2013,Annual,New York,0.46,162,0.94,36335,0.1
2013,Annual,Pennsylvania,0.46,828,0.98,38599,0.21
2013,Annual,Ohio,0.46,407,0.98,24858,0.13
2013,Annual,Arizona,0.49,5,0.80,458,0.97
2013,Annual,Kansas,0.5,38,0.97,627,0.74
2013,Annual,Vermont,0.54,82,0.95,1996,0.98
2013,Annual,New Hampshire,0.6,58,0.95,318,0.89
2013,Annual,Illinois,0.63,125,0.97,2465,0.68
2013,Annual,Iowa,0.71,55,0.96,2006,0.89
2013,Annual,Connecticut,0.82,65,0.91,1531,0.18
2013,Annual,District of Columbia,0.86,6,0.67,377,0.15
2013,Annual,Alaska,,3,1.00,15,1
2012,Annual,Hawaii,0.08,41,0.98,10027,0.94
2012,Annual,Arizona,0.21,9,0.89,2289,0.01
2012,Annual,South Carolina,0.26,66,0.97,4799,0.13
2012,Annual,Indiana,0.27,108,0.96,4087,0.27
2012,Annual,Arkansas,0.28,37,0.97,2381,0.96
2012,Annual,Illinois,0.29,131,0.97,5026,0.19
2012,Annual,Vermont,0.3,39,0.90,4189,0.45
2012,Annual,Montana,0.3,25,0.60,35214,0
2012,Annual,Missouri,0.33,74,0.97,1243,0.67
2012,Annual,Massachusetts,0.34,151,0.97,24961,0.04
2012,Annual,Iowa,0.35,44,0.91,6882,0.34
2012,Annual,Idaho,0.36,30,0.50,91535,0.02
2012,Annual,Oregon,0.36,120,0.92,23061,0.42
2012,Annual,New Hampshire,0.37,57,1.00,734,1
2012,Annual,Rhode Island,0.38,15,0.73,192,0.79
2012,Annual,Maine,0.4,101,0.94,81087,0.01
2012,Annual,New Jersey,0.4,61,0.90,47013,0.01
2012,Annual,Louisiana,0.41,13,1.00,835,1
2012,Annual,Michigan,0.42,205,0.97,39903,0.1
2012,Annual,New York,0.42,176,0.92,71614,0.07
2012,Annual,Kansas,0.42,39,0.87,2535,0.23
2012,Annual,Florida,0.42,95,0.79,84768,0.1
2012,Annual,North Dakota,0.42,34,0.09,289596,0
2012,Annual,Washington,0.43,107,0.90,79935,0.01
2012,Annual,Wisconsin,0.44,127,0.93,36124,0.14
2012,Annual,Kentucky,0.44,46,0.94,697,0.91
2012,Annual,California,0.46,212,0.64,625897,0.12
2012,Annual,Pennsylvania,0.46,349,0.96,46365,0.12
2012,Annual,Wyoming,0.46,13,0.54,19318,0.01
2012,Annual,MultiStateOperation,0.47,156,0.00,609111,0
2012,Annual,North Carolina,0.47,275,0.97,5812,0.67
2012,Annual,Ohio,0.47,182,0.99,24995,0.13
2012,Annual,Virginia,0.48,467,0.98,29167,0.19
2012,Annual,Delaware,0.48,23,0.83,24893,0.01
2012,Annual,Georgia,0.49,70,0.86,14700,0.09
2012,Annual,Maryland,0.49,181,0.95,26722,0.07
2012,Annual,Utah,0.5,45,0.84,15720,0.03
2012,Annual,Texas,0.51,53,0.76,112502,0.01
2012,Annual,Colorado,0.51,165,0.98,1414,0.83
2012,Annual,Tennessee,0.51,55,0.91,1357,0.57
2012,Annual,Alabama,0.55,36,0.94,777,0.64
2012,Annual,West Virginia,0.56,60,0.93,2736,0.19
2012,Annual,Minnesota,0.58,74,0.84,72320,0.21
2012,Annual,Connecticut,0.58,57,0.91,1101,0.68
2012,Annual,Mississippi,0.6,26,0.81,156746,0.01
2012,Annual,New Mexico,0.61,9,0.89,71,0.91
2012,Annual,Nebraska,0.62,13,0.69,127087,0
2012,Annual,South Dakota,0.63,5,0.40,127801,0
2012,Annual,Oklahoma,0.65,29,0.93,8366,0.09
2012,Annual,District of Columbia,0.74,10,0.70,509,0.09
2012,Annual,Nevada,,4,0.50,2556,0
2012,Annual,Alaska,,2,1.00,13,1
2011,Annual,Vermont,0.17,45,0.91,1599,0.19
2011,Annual,Rhode Island,0.19,18,1.00,86,1
2011,Annual,Montana,0.19,15,0.67,22359,0.06
2011,Annual,Indiana,0.19,60,0.95,2259,0.27
2011,Annual,Oregon,0.2,76,0.90,28552,0.15
2011,Annual,Hawaii,0.2,18,1.00,13728,1
2011,Annual,Michigan,0.22,106,0.97,9699,0.13
2011,Annual,Washington,0.23,71,0.92,44554,0.03
2011,Annual,Connecticut,0.24,30,0.87,394,0.44
2011,Annual,Idaho,0.25,22,0.82,7351,0.01
2011,Annual,New Jersey,0.26,46,0.87,847,0.84
2011,Annual,Nebraska,0.26,6,0.83,15531,0
2011,Annual,Virginia,0.27,294,0.98,2683,0.97
2011,Annual,Missouri,0.27,54,0.96,841,0.6
2011,Annual,Texas,0.27,25,0.92,16189,0.05
2011,Annual,Tennessee,0.27,69,0.93,1192,0.83
2011,Annual,Arizona,0.27,7,0.71,448,0.47
2011,Annual,Alabama,0.27,25,0.96,582,1
2011,Annual,North Dakota,0.28,9,0.11,49950,0.06
2011,Annual,California,0.28,175,0.83,163019,0.29
2011,Annual,South Carolina,0.28,60,0.95,1744,0.38
2011,Annual,Utah,0.3,47,0.98,5874,0.06
2011,Annual,MultiStateOperation,0.31,83,0.00,137431,0
2011,Annual,North Carolina,0.33,248,0.98,2510,0.96
2011,Annual,Nevada,0.33,8,0.88,1703,0.04
2011,Annual,Kansas,0.34,14,0.86,668,0.34
2011,Annual,New Hampshire,0.35,33,0.88,375,0.65
2011,Annual,Wisconsin,0.36,71,0.96,967,0.96
2011,Annual,Ohio,0.36,138,0.97,4590,0.56
2011,Annual,Oklahoma,0.37,17,1.00,156,1
2011,Annual,Minnesota,0.37,30,0.97,689,0.97
2011,Annual,Kentucky,0.37,28,0.96,869,0.97
2011,Annual,Maryland,0.37,190,0.98,1513,0.95
2011,Annual,New Mexico,0.38,10,1.00,218,1
2011,Annual,Arkansas,0.38,21,0.95,356,0.75
2011,Annual,Colorado,0.38,67,0.99,891,0.77
2011,Annual,Florida,0.42,72,0.89,49141,0.13
2011,Annual,West Virginia,0.43,31,0.90,555,0.52
2011,Annual,New York,0.44,113,0.91,11972,0.19
2011,Annual,Iowa,0.46,24,0.96,749,0.66
2011,Annual,Massachusetts,0.48,121,0.95,26013,0.03
2011,Annual,Pennsylvania,0.48,376,0.96,12633,0.43
2011,Annual,Maine,0.49,73,0.95,33389,0.03
2011,Annual,Louisiana,0.5,14,1.00,1830,1
2011,Annual,Georgia,0.5,89,0.92,12228,0.14
2011,Annual,Delaware,0.51,19,0.90,470,0.79
2011,Annual,Illinois,0.53,50,0.98,1018,0.77
2011,Annual,District of Columbia,0.85,5,1.00,1877,1
2011,Annual,South Dakota,,2,1.00,41,1
2011,Annual,Mississippi,,4,1.00,40,1
2011,Annual,Wyoming,,4,1.00,4172,1
2011,Annual,Puerto Rico,,1,1.00,15,1
2010,Annual,Hawaii,0.08,31,1.00,5287,1
2010,Annual,New Mexico,0.1,9,1.00,29,1
2010,Annual,Alabama,0.14,21,0.91,459,0.96
2010,Annual,Nebraska,0.18,8,0.88,11239,0.01
2010,Annual,Montana,0.2,15,0.67,20569,0.01
2010,Annual,Oregon,0.2,75,0.92,16311,0.02
2010,Annual,Washington,0.21,69,0.90,21210,0.02
2010,Annual,Idaho,0.21,14,0.86,11507,0
2010,Annual,Arizona,0.23,7,0.71,2001,0.01
2010,Annual,South Carolina,0.25,42,0.88,1174,0.26
2010,Annual,Vermont,0.26,36,0.89,1188,0.19
2010,Annual,Missouri,0.27,76,0.97,761,0.94
2010,Annual,Utah,0.27,48,0.96,2340,0.09
2010,Annual,North Dakota,0.28,14,0.36,56080,0
2010,Annual,New Jersey,0.29,41,0.95,297,0.99
2010,Annual,Arkansas,0.3,15,0.87,98,0.8
2010,Annual,Texas,0.3,37,0.78,44896,0.03
2010,Annual,Oklahoma,0.33,16,0.75,653,0.94
2010,Annual,Kentucky,0.34,21,0.95,430,0.99
2010,Annual,Indiana,0.34,65,0.99,6519,0.08
2010,Annual,Wisconsin,0.35,54,0.93,6987,0.14
2010,Annual,New Hampshire,0.36,30,1.00,466,1
2010,Annual,California,0.36,144,0.80,130488,0.12
2010,Annual,MultiStateOperation,0.36,79,0.00,120352,0
2010,Annual,Tennessee,0.36,43,0.91,415,0.8
2010,Annual,Colorado,0.39,65,0.99,741,0.8
2010,Annual,Kansas,0.39,11,0.82,175,0.52
2010,Annual,Delaware,0.39,8,0.88,41,0.79
2010,Annual,Ohio,0.4,116,1.00,948,1
2010,Annual,Virginia,0.41,176,0.98,1491,0.95
2010,Annual,North Carolina,0.42,303,0.96,3451,0.92
2010,Annual,Minnesota,0.43,27,0.78,38378,0.01
2010,Annual,Mississippi,0.44,7,0.57,30618,0
2010,Annual,Connecticut,0.44,43,0.86,666,0.38
2010,Annual,South Dakota,0.45,7,0.86,2802,0.04
2010,Annual,Maryland,0.48,85,0.99,765,0.98
2010,Annual,Rhode Island,0.49,25,0.96,113,0.96
2010,Annual,Florida,0.58,57,0.91,13624,0.07
2010,Annual,Illinois,0.58,57,0.95,1019,0.8
2010,Annual,Massachusetts,0.61,81,0.94,539,0.84
2010,Annual,Louisiana,0.64,13,0.85,6153,0.03
2010,Annual,New York,0.68,79,0.85,8197,0.15
2010,Annual,Pennsylvania,0.73,218,0.97,8640,0.54
2010,Annual,West Virginia,0.79,25,0.92,509,0.49
2010,Annual,Iowa,0.81,14,0.86,1037,0.69
2010,Annual,Michigan,0.84,99,0.97,10320,0.22
2010,Annual,Georgia,0.85,61,0.97,5923,0.21
2010,Annual,Maine,0.87,43,0.93,5668,0.14
2010,Annual,Puerto Rico,,1,1.00,12,1
2010,Annual,Alaska,,2,0.50,6,1
2010,Annual,District of Columbia,,1,1.00,4,1
2010,Annual,Wyoming,,2,1.00,3883,1
2010,Annual,Nevada,,3,0.33,3581,0
